gnid,ntheta,nltheta,nrtheta,j,t,area,tl,bl
2,60,50,20,20000,1000,1.89E-14,2.87E-07,1.24E-07
3,20,60,90,20000,1000,1.9E-14,2.96E-07,1.24E-07
4,90,20,0,20000,1000,1.88E-14,2.82E-07,1.23E-07
5,0,90,70,20000,1000,1.9E-14,2.97E-07,1.23E-07
6,70,0,30,20000,1000,1.88E-14,2.84E-07,1.24E-07
7,30,70,40,20000,1000,1.87E-14,2.94E-07,1.24E-07
8,40,30,50,20000,1000,1.91E-14,2.95E-07,1.23E-07
1,50,40,60,20000,1500,1.97E-14,2.79E-07,1.2E-07
2,60,50,20,20000,1500,2.02E-14,2.83E-07,1.24E-07
3,20,60,90,20000,1500,2.04E-14,2.98E-07,1.25E-07
4,90,20,0,20000,1500,2E-14,2.77E-07,1.24E-07
5,0,90,70,20000,1500,2.04E-14,3E-07,1.24E-07
6,70,0,30,20000,1500,1.99E-14,2.79E-07,1.24E-07
7,30,70,40,20000,1500,2.03E-14,2.95E-07,1.25E-07
8,40,30,50,20000,1500,2.08E-14,2.98E-07,1.29E-07
1,50,40,60,200000,500,2.1E-14,2.81E-07,1.26E-07
2,60,50,20,200000,500,2.06E-14,2.62E-07,1.25E-07
3,20,60,90,200000,500,2.2E-14,3.2E-07,1.28E-07
4,90,20,0,200000,500,2E-14,2.36E-07,1.24E-07
5,0,90,70,200000,500,2.19E-14,3.26E-07,1.29E-07
6,70,0,30,200000,500,2.01E-14,2.5E-07,1.25E-07
7,30,70,40,200000,500,2.14E-14,3.02E-07,1.27E-07
8,40,30,50,200000,500,2.11E-14,2.84E-07,1.26E-07
1,50,40,60,200000,1000,2.59E-14,2.81E-07,1.25E-07
2,60,50,20,200000,1000,2.48E-14,2.3E-07,1.25E-07
3,20,60,90,200000,1000,2.86E-14,3.9E-07,1.28E-07
4,90,20,0,200000,1000,2.33E-14,1.55E-07,1.22E-07
5,0,90,70,200000,1000,2.84E-14,3.97E-07,1.29E-07
6,70,0,30,200000,1000,2.37E-14,1.98E-07,1.24E-07
7,30,70,40,200000,1000,2.69E-14,3.33E-07,1.26E-07
8,40,30,50,200000,1000,2.61E-14,2.86E-07,1.26E-07
1,50,40,60,200000,1500,3.06E-14,2.77E-07,1.24E-07
2,60,50,20,200000,1500,2.91E-14,2.06E-07,1.22E-07
3,20,60,90,200000,1500,3.36E-14,3.93E-07,1.27E-07
4,90,20,0,200000,1500,0,0,0
5,0,90,70,200000,1500,4.62E-14,6.1E-07,3.28E-07
6,70,0,30,200000,1500,0,0,0
7,30,70,40,200000,1500,3.19E-14,3.6E-07,1.25E-07
8,40,30,50,200000,1500,3.09E-14,2.91E-07,1.25E-07
1,50,40,60,0,500,1.7E-14,2.96E-07,1.24E-07
2,60,50,20,0,500,1.7E-14,2.97E-07,1.24E-07
3,20,60,90,0,500,1.7E-14,2.97E-07,1.24E-07
4,90,20,0,0,500,1.7E-14,2.96E-07,1.24E-07
5,0,90,70,0,500,1.7E-14,2.96E-07,1.24E-07
6,70,0,30,0,500,1.7E-14,2.96E-07,1.24E-07
7,30,70,40,0,500,1.7E-14,2.96E-07,1.24E-07
8,40,30,50,0,500,1.7E-14,2.96E-07,1.24E-07
1,50,40,60,0,1000,1.8E-14,2.92E-07,1.23E-07
2,60,50,20,0,1000,1.8E-14,2.92E-07,1.23E-07
3,20,60,90,0,1000,1.8E-14,2.93E-07,1.23E-07
4,90,20,0,0,1000,1.8E-14,2.93E-07,1.23E-07
5,0,90,70,0,1000,1.8E-14,2.92E-07,1.23E-07
6,70,0,30,0,1000,1.8E-14,2.93E-07,1.23E-07
7,30,70,40,0,1000,1.8E-14,2.93E-07,1.23E-07
8,40,30,50,0,1000,1.8E-14,2.92E-07,1.23E-07
1,50,40,60,0,1500,1.9E-14,2.9E-07,1.23E-07
2,60,50,20,0,1500,1.9E-14,2.91E-07,1.22E-07
3,20,60,90,0,1500,1.9E-14,2.91E-07,1.22E-07
4,90,20,0,0,1500,1.9E-14,2.91E-07,1.22E-07
5,0,90,70,0,1500,1.9E-14,2.9E-07,1.22E-07
6,70,0,30,0,1500,1.9E-14,2.91E-07,1.22E-07
7,30,70,40,0,1500,1.9E-14,2.91E-07,1.22E-07
8,40,30,50,0,1500,1.9E-14,2.91E-07,1.22E-07
